team,name,age,senior_career,youth_career
Ukraine,Georgiy Bushchan,27,2011–,2007–2009
Ukraine,Andriy Pyatov,37,2000–2001,nan
Ukraine,Oleksandr Karavaev,29,2009–2017,2005
Ukraine,Serhiy Kryvtsov,30,2007–2008,2004–2007
Ukraine,Mykola Matviyenko,25,2015–,2009–2015
Ukraine,Vitaliy Mykolenko,22,2016–,2012–2016
Ukraine,Denys Popov,22,2017–,201?–2014
Ukraine,Eduard Sobol,26,2011,2008–2011
Ukraine,Oleksandr Tymchyk,24,2014–,2011–2013
Ukraine,Illia Zabarnyi,18,2019–,2015–2019
Ukraine,Oleksandr Zinchenko,24,2015–2016,2004–2008
Ukraine,Roman Bezus,30,2006–2008,2003–2004
Ukraine,Yevhen Makarenko,30,2008–2016,2004–2008
Ukraine,Ruslan Malinovskyi,28,2011–2017,2000–2005
Ukraine,Marlos,33,2006–2009,0000–2005
Ukraine,Mykola Shaparenko,22,2014–2015,2010–2011
Ukraine,Taras Stepanenko,31,2006,2001–2003
Ukraine,Heorhii Sudakov,18,2020–,2013–2014
Ukraine,Serhiy Sydorchuk,30,2008–2011,2004–2008
Ukraine,Viktor Tsygankov,23,2016–,2009–2010
Ukraine,Oleksandr Zubkov,24,2014–2020,2009–2011
Ukraine,Artem Besedin,25,2015–,nan
Ukraine,Artem Dovbyk,24,2014–2015,2010–2014
Ukraine,Roman Yaremchuk,25,2012–2017,2002–2007
